cik,company_name,filing_type,filing_date,filing_link
1002044,INFINIUM SOFTWARE INC,10-Q,1999-05-14,https://www.sec.gov/Archives/edgar/data/000095013599002704/
840824,NETEGRITY INC,10-Q,1999-05-13,https://www.sec.gov/Archives/edgar/data/000084082499000001/
352683,SAGA SYSTEMS INC /DE/,10-Q,1999-05-12,https://www.sec.gov/Archives/edgar/data/000092838599001718/
1060531,BEYOND COM CORP,10-K,1999-03-31,https://www.sec.gov/Archives/edgar/data/000089102099000604/
840824,NETEGRITY INC,10-K,1999-03-31,https://www.sec.gov/Archives/edgar/data/000104746999013045/
875173,SOFTWARE SPECTRUM INC,10-Q,1999-03-17,https://www.sec.gov/Archives/edgar/data/000104746999010128/
1002044,INFINIUM SOFTWARE INC,10-Q,1999-02-12,https://www.sec.gov/Archives/edgar/data/000095013599000676/
875173,SOFTWARE SPECTRUM INC,10-Q,1998-12-14,https://www.sec.gov/Archives/edgar/data/000104746998043923/
1060531,BEYOND COM CORP,10-Q,1998-11-16,https://www.sec.gov/Archives/edgar/data/000089161898004936/
352683,SAGA SYSTEMS INC /DE/,10-Q,1998-11-12,https://www.sec.gov/Archives/edgar/data/000092838598002275/
840824,NETEGRITY INC,10-Q,1998-11-12,https://www.sec.gov/Archives/edgar/data/000084082498000004/
875173,SOFTWARE SPECTRUM INC,10-Q,1998-09-11,https://www.sec.gov/Archives/edgar/data/000104746998034357/
926331,VIZACOM INC,10-Q,1998-08-14,https://www.sec.gov/Archives/edgar/data/000092633198000022/
1002044,INFINIUM SOFTWARE INC,10-Q,1998-08-14,https://www.sec.gov/Archives/edgar/data/000095013598004757/
1060531,BEYOND COM CORP,10-Q,1998-08-14,https://www.sec.gov/Archives/edgar/data/000089161898003945/
352683,SAGA SYSTEMS INC /DE/,10-Q,1998-08-12,https://www.sec.gov/Archives/edgar/data/000092838598001647/
840824,NETEGRITY INC,10-Q,1998-08-11,https://www.sec.gov/Archives/edgar/data/000084082498000003/
875173,SOFTWARE SPECTRUM INC,10-K,1998-07-28,https://www.sec.gov/Archives/edgar/data/000104746998028564/
840824,NETEGRITY INC,10-Q,1998-05-15,https://www.sec.gov/Archives/edgar/data/000084082498000002/
1002044,INFINIUM SOFTWARE INC,10-Q,1998-05-14,https://www.sec.gov/Archives/edgar/data/000095013598003276/
352683,SAGA SYSTEMS INC /DE/,10-Q,1998-04-21,https://www.sec.gov/Archives/edgar/data/000092838598000783/
